Oz40MW,siemens415W,siemens450W,aurecon1MW
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0.013992143,0.01494269,0
0,0.085721626,0.081157847,0.04122
0,0.157451109,0.147373005,0.109004
0,0.229180592,0.213588163,0.198772
0,0.300910075,0.27980332,0.300448
0,0.372639558,0.346018478,0.383804
0,0.444369041,0.412233636,0.473572
0,0.482049885,0.455410822,0.565172
0,0.519730729,0.498588009,0.683336
0,0.557411573,0.541765196,0.774936
0,0.595092417,0.584942382,0.793256
0,0.632773261,0.628119569,0.76486
0,0.670454105,0.671296756,0.754784
0,0.66803994,0.668850312,0.753868
0.713572244,0.665625776,0.666403868,0.752952
0.740154564,0.663211611,0.663957425,0.75112
0.7654325,0.660797446,0.661510981,0.747456
0.789195372,0.658383281,0.659064537,0.743792
0.811793092,0.655969117,0.656618094,0.739212
0.832677892,0.651642559,0.652343763,0.73738
0.852706232,0.647316001,0.648069432,0.733716
0.87101982,0.642989443,0.643795101,0.727304
0.887511484,0.638662886,0.63952077,0.722724
0.902274656,0.634336328,0.63524644,0.716312
0.9147176,0.63000977,0.630972109,0.7099
0.916,0.626909163,0.62788641,0.706236
0.916,0.623808556,0.624800712,0.702572
0.916,0.620707949,0.621715013,0.698908
0.916,0.617607342,0.618629314,0.694328
0.916,0.614506735,0.615543616,0.690664
0.916,0.611406128,0.612457917,0.686084
0.916,0.610847433,0.611907654,0.685168
0.916,0.610288739,0.611357392,0.685168
0.916,0.609730044,0.610807129,0.684252
0.916,0.60917135,0.610256867,0.685168
0.916,0.608612655,0.609706604,0.685168
0.916,0.60805396,0.609156341,0.688832
0.916,0.608784795,0.609856862,0.688832
0.916,0.609515629,0.610557382,0.690664
0.914408908,0.610246463,0.611257902,0.690664
0.899820692,0.610977297,0.611958422,0.69158
0.884355864,0.611708131,0.612658942,0.694328
