Year,Drilling and Blasting,Primary Loading ,Primary hauling and ROM ,Ancillary Hauling ,Road trucks ,Rail Transport ,Power Station
2024,"1,885","3,957","12,904","4,195","4,544",374,"8,383"
2025,"1,824","4,375","13,301","4,215","9,690",784,"8,383"
2026,"1,830","4,837","11,944","4,505","9,759",779,"8,383"
2027,"1,735","4,856","11,072","4,520","10,198",795,"8,383"
2028,"1,754","4,583","11,187","4,527","10,139",783,"8,383"
2029,"2,370","5,426","16,007","5,198","8,403",665,"8,383"
2030,"2,499","5,429","19,047","5,198","7,862",624,"8,383"
2031,"2,519","5,457","20,133","5,198","8,108",642,"8,383"
2032,"2,489","5,426","20,172","5,198","8,196",650,"8,383"
2033,"2,411","5,477","20,531","5,162","8,509",679,"8,383"
2034,"2,377","5,387","19,631","5,162","8,345",666,"8,383"
2035,"2,360","5,495","19,233","5,162","8,197",651,"8,383"
2036,"2,288","5,494","23,933","5,162","7,807",621,"8,383"
2037,"2,345","5,595","22,748","5,162","7,368",585,"8,383"
2038,"2,296","5,613","22,692","5,143","8,341",656,"8,383"
2039,"1,821","4,497","22,477","4,863","8,873",696,"8,383"
2040,"1,778","4,659","23,979","4,683","9,458",732,"8,383"
2041,"1,799","4,519","20,675","4,683","8,229",639,"8,383"
2042,"1,777","4,492","21,088","4,683","5,865",470,"8,383"
2043,"1,820","4,497","22,918","4,683","5,603",454,"8,383"
2044,"1,838","4,498","25,481","4,038","6,870",550,"8,383"
2045,"1,888","4,503","26,047","4,038","9,763",770,"8,383"
2046,983,"2,994","16,576","3,415","10,161",800,"8,383"
2047,983,"2,995","17,950","3,397","8,476",676,"8,383"
2048,761,"2,585","14,213","3,104","7,557",610,"8,383"
2049,93,"1,053","2,061","3,049","5,108",418,"8,383"
